title,category,summary,authors
Bandits with Abstention under Expert Advice,Machine Learning,"We study the classic problem of prediction with expert advice under bandit
feedback. Our model assumes that one action, corresponding to the learner's
abstention from play, has no reward or loss on every trial. We propose the CBA
algorithm, which exploits this assumption to obtain reward bounds that can
significantly improve those of the classical Exp4 algorithm. We can view our
problem as the aggregation of confidence-rated predictors when the learner has
the option of abstention from play. Importantly, we are the first to achieve
bounds on the expected cumulative reward for general confidence-rated
predictors. In the special case of specialists we achieve a novel reward bound,
significantly improving previous bounds of SpecialistExp (treating abstention
as another action). As an example application, we discuss learning unions of
balls in a finite metric space. In this contextual setting, we devise an
efficient implementation of CBA, reducing the runtime from quadratic to almost
linear in the number of contexts. Preliminary experiments show that CBA
improves over existing bandit algorithms.","['Stephen Pasteris', 'Alberto Rumi', 'Maximilian Thiessen', 'Shota Saito', 'Atsushi Miyauchi', 'Fabio Vitale', 'Mark Herbster']"
"SE-ECGNet: A Multi-scale Deep Residual Network with
  Squeeze-and-Excitation Module for ECG Signal Classification",Machine Learning,"The classification of electrocardiogram (ECG) signals, which takes much time
and suffers from a high rate of misjudgment, is recognized as an extremely
challenging task for cardiologists. The major difficulty of the ECG signals
classification is caused by the long-term sequence dependencies. Most existing
approaches for ECG signal classification use Recurrent Neural Network models,
e.g., LSTM and GRU, which are unable to extract accurate features for such long
sequences. Other approaches utilize 1-Dimensional Convolutional Neural Network
(CNN), such as ResNet or its variant, and they can not make good use of the
multi-lead information from ECG signals.Based on the above observations, we
develop a multi-scale deep residual network for the ECG signal classification
task. We are the first to propose to treat the multi-lead signal as a
2-dimensional matrix and combines multi-scale 2-D convolution blocks with 1-D
convolution blocks for feature extraction. Our proposed model achieves 99.2%
F1-score in the MIT-BIH dataset and 89.4% F1-score in Alibaba dataset and
outperforms the state-of-the-art performance by 2% and 3%, respectively, view
related code and data at https://github.com/Amadeuszhao/SE-ECGNet","['Haozhen Zhang', 'Wei Zhao', 'Shuang Liu']"
"Fusing Deep Learned and Hand-Crafted Features of Appearance, Shape, and
  Dynamics for Automatic Pain Estimation",Computer Vision and Pattern Recognition,"Automatic continuous time, continuous value assessment of a patient's pain
from face video is highly sought after by the medical profession. Despite the
recent advances in deep learning that attain impressive results in many
domains, pain estimation risks not being able to benefit from this due to the
difficulty in obtaining data sets of considerable size. In this work we propose
a combination of hand-crafted and deep-learned features that makes the most of
deep learning techniques in small sample settings. Encoding shape, appearance,
and dynamics, our method significantly outperforms the current state of the
art, attaining a RMSE error of less than 1 point on a 16-level pain scale,
whilst simultaneously scoring a 67.3% Pearson correlation coefficient between
our predicted pain level time series and the ground truth.","['Joy Egede', 'Michel Valstar', 'Brais Martinez']"
"FortuneTeller: Predicting Microarchitectural Attacks via Unsupervised
  Deep Learning",Cryptography and Security,"The growing security threat of microarchitectural attacks underlines the
importance of robust security sensors and detection mechanisms at the hardware
level. While there are studies on runtime detection of cache attacks, a generic
model to consider the broad range of existing and future attacks is missing.
Unfortunately, previous approaches only consider either a single attack
variant, e.g. Prime+Probe, or specific victim applications such as
cryptographic implementations. Furthermore, the state-of-the art anomaly
detection methods are based on coarse-grained statistical models, which are not
successful to detect anomalies in a large-scale real world systems. Thanks to
the memory capability of advanced Recurrent Neural Networks (RNNs) algorithms,
both short and long term dependencies can be learned more accurately.
Therefore, we propose FortuneTeller, which for the first time leverages the
superiority of RNNs to learn complex execution patterns and detects unseen
microarchitectural attacks in real world systems. FortuneTeller models benign
workload pattern from a microarchitectural standpoint in an unsupervised
fashion, and then, it predicts how upcoming benign executions are supposed to
behave. Potential attacks and malicious behaviors will be detected
automatically, when there is a discrepancy between the predicted execution
pattern and the runtime observation. We implement FortuneTeller based on the
available hardware performance counters on Intel processors and it is trained
with 10 million samples obtained from benign applications. For the first time,
the latest attacks such as Meltdown, Spectre, Rowhammer and Zombieload are
detected with one trained model and without observing these attacks during the
training. We show that FortuneTeller achieves F-score of 0.9970.","['Berk Gulmezoglu', 'Ahmad Moghimi', 'Thomas Eisenbarth', 'Berk Sunar']"
Input Aggregated Network for Face Video Representation,Computer Vision and Pattern Recognition,"Recently, deep neural network has shown promising performance in face image
recognition. The inputs of most networks are face images, and there is hardly
any work reported in literature on network with face videos as input. To
sufficiently discover the useful information contained in face videos, we
present a novel network architecture called input aggregated network which is
able to learn fixed-length representations for variable-length face videos. To
accomplish this goal, an aggregation unit is designed to model a face video
with various frames as a point on a Riemannian manifold, and the mapping unit
aims at mapping the point into high-dimensional space where face videos
belonging to the same subject are close-by and others are distant. These two
units together with the frame representation unit build an end-to-end learning
system which can learn representations of face videos for the specific tasks.
Experiments on two public face video datasets demonstrate the effectiveness of
the proposed network.","['Zhen Dong', 'Su Jia', 'Chi Zhang', 'Mingtao Pei']"
"Applying Recent Innovations from NLP to MOOC Student Course Trajectory
  Modeling",Machine Learning,"This paper presents several strategies that can improve neural network-based
predictive methods for MOOC student course trajectory modeling, applying
multiple ideas previously applied to tackle NLP (Natural Language Processing)
tasks. In particular, this paper investigates LSTM networks enhanced with two
forms of regularization, along with the more recently introduced Transformer
architecture.","['Clarence Chen', 'Zachary Pardos']"
Convolutional 2D Knowledge Graph Embeddings,Machine Learning,"Link prediction for knowledge graphs is the task of predicting missing
relationships between entities. Previous work on link prediction has focused on
shallow, fast models which can scale to large knowledge graphs. However, these
models learn less expressive features than deep, multi-layer models -- which
potentially limits performance. In this work, we introduce ConvE, a multi-layer
convolutional network model for link prediction, and report state-of-the-art
results for several established datasets. We also show that the model is highly
parameter efficient, yielding the same performance as DistMult and R-GCN with
8x and 17x fewer parameters. Analysis of our model suggests that it is
particularly effective at modelling nodes with high indegree -- which are
common in highly-connected, complex knowledge graphs such as Freebase and
YAGO3. In addition, it has been noted that the WN18 and FB15k datasets suffer
from test set leakage, due to inverse relations from the training set being
present in the test set -- however, the extent of this issue has so far not
been quantified. We find this problem to be severe: a simple rule-based model
can achieve state-of-the-art results on both WN18 and FB15k. To ensure that
models are evaluated on datasets where simply exploiting inverse relations
cannot yield competitive results, we investigate and validate several commonly
used datasets -- deriving robust variants where necessary. We then perform
experiments on these robust datasets for our own and several previously
proposed models and find that ConvE achieves state-of-the-art Mean Reciprocal
Rank across most datasets.","['Tim Dettmers', 'Pasquale Minervini', 'Pontus Stenetorp', 'Sebastian Riedel']"
Processing of Test Matrices with Guessing Correction,Machine Learning,"It is suggested to insert into test matrix 1s for correct responses, 0s for
response refusals, and negative corrective elements for incorrect responses.
With the classical test theory approach test scores of examinees and items are
calculated traditionally as sums of matrix elements, organized in rows and
columns. Correlation coefficients are estimated using correction coefficients.
In item response theory approach examinee and item logits are estimated using
maximum likelihood method and probabilities of all matrix elements.",['Kromer Victor']
Analyzing Encoded Concepts in Transformer Language Models,Computation and Language (Natural Language Processing),"We propose a novel framework ConceptX, to analyze how latent concepts are
encoded in representations learned within pre-trained language models. It uses
clustering to discover the encoded concepts and explains them by aligning with
a large set of human-defined concepts. Our analysis on seven transformer
language models reveal interesting insights: i) the latent space within the
learned representations overlap with different linguistic concepts to a varying
degree, ii) the lower layers in the model are dominated by lexical concepts
(e.g., affixation), whereas the core-linguistic concepts (e.g., morphological
or syntactic relations) are better represented in the middle and higher layers,
iii) some encoded concepts are multi-faceted and cannot be adequately explained
using the existing human-defined concepts.","['Hassan Sajjad', 'Nadir Durrani', 'Fahim Dalvi', 'Firoj Alam', 'Abdul Rafae Khan', 'Jia Xu']"
"Propagation with Adaptive Mask then Training for Node Classification on
  Attributed Networks",Machine Learning,"Node classification on attributed networks is a semi-supervised task that is
crucial for network analysis. By decoupling two critical operations in Graph
Convolutional Networks (GCNs), namely feature transformation and neighborhood
aggregation, some recent works of decoupled GCNs could support the information
to propagate deeper and achieve advanced performance. However, they follow the
traditional structure-aware propagation strategy of GCNs, making it hard to
capture the attribute correlation of nodes and sensitive to the structure noise
described by edges whose two endpoints belong to different categories. To
address these issues, we propose a new method called the itshape Propagation
with Adaptive Mask then Training (PAMT). The key idea is to integrate the
attribute similarity mask into the structure-aware propagation process. In this
way, PAMT could preserve the attribute correlation of adjacent nodes during the
propagation and effectively reduce the influence of structure noise. Moreover,
we develop an iterative refinement mechanism to update the similarity mask
during the training process for improving the training performance. Extensive
experiments on four real-world datasets demonstrate the superior performance
and robustness of PAMT.","['Jinsong Chen', 'Boyu Li', 'Qiuting He', 'Kun He']"
A Unified Generative Approach to Product Attribute-Value Identification,Computation and Language (Natural Language Processing),"Product attribute-value identification (PAVI) has been studied to link
products on e-commerce sites with their attribute values (e.g., <Material,
Cotton>) using product text as clues. Technical demands from real-world
e-commerce platforms require PAVI methods to handle unseen values,
multi-attribute values, and canonicalized values, which are only partly
addressed in existing extraction- and classification-based approaches.
Motivated by this, we explore a generative approach to the PAVI task. We
finetune a pre-trained generative model, T5, to decode a set of attribute-value
pairs as a target sequence from the given product text. Since the attribute
value pairs are unordered set elements, how to linearize them will matter; we,
thus, explore methods of composing an attribute-value pair and ordering the
pairs for the task. Experimental results confirm that our generation-based
approach outperforms the existing extraction and classification-based methods
on large-scale real-world datasets meant for those methods.","['Keiji Shinzato', 'Naoki Yoshinaga', 'Yandi Xia', 'Wei-Te Chen']"
Query-Reward Tradeoffs in Multi-Armed Bandits,Machine Learning,"We consider a stochastic multi-armed bandit setting where reward must be
actively queried for it to be observed. We provide tight lower and upper
problem-dependent guarantees on both the regret and the number of queries.
Interestingly, we prove that there is a fundamental difference between problems
with a unique and multiple optimal arms, unlike in the standard multi-armed
bandit problem. We also present a new, simple, UCB-style sampling concept, and
show that it naturally adapts to the number of optimal arms and achieves tight
regret and querying bounds.","['Nadav Merlis', 'Yonathan Efroni', 'Shie Mannor']"
OPERA:Operation-Pivoted Discrete Reasoning over Text,Computation and Language (Natural Language Processing),"Machine reading comprehension (MRC) that requires discrete reasoning
involving symbolic operations, e.g., addition, sorting, and counting, is a
challenging task. According to this nature, semantic parsing-based methods
predict interpretable but complex logical forms. However, logical form
generation is nontrivial and even a little perturbation in a logical form will
lead to wrong answers. To alleviate this issue, multi-predictor -based methods
are proposed to directly predict different types of answers and achieve
improvements. However, they ignore the utilization of symbolic operations and
encounter a lack of reasoning ability and interpretability. To inherit the
advantages of these two types of methods, we propose OPERA, an
operation-pivoted discrete reasoning framework, where lightweight symbolic
operations (compared with logical forms) as neural modules are utilized to
facilitate the reasoning ability and interpretability. Specifically, operations
are first selected and then softly executed to simulate the answer reasoning
procedure. Extensive experiments on both DROP and RACENum datasets show the
reasoning ability of OPERA. Moreover, further analysis verifies its
interpretability.","['Yongwei Zhou', 'Junwei Bao', 'Chaoqun Duan', 'Haipeng Sun', 'Jiahui Liang', 'Yifan Wang', 'Jing Zhao', 'Youzheng Wu', 'Xiaodong He', 'Tiejun Zhao']"
"Generating Probabilistic Safety Guarantees for Neural Network
  Controllers",Artificial Intelligence,"Neural networks serve as effective controllers in a variety of complex
settings due to their ability to represent expressive policies. The complex
nature of neural networks, however, makes their output difficult to verify and
predict, which limits their use in safety-critical applications. While
simulations provide insight into the performance of neural network controllers,
they are not enough to guarantee that the controller will perform safely in all
scenarios. To address this problem, recent work has focused on formal methods
to verify properties of neural network outputs. For neural network controllers,
we can use a dynamics model to determine the output properties that must hold
for the controller to operate safely. In this work, we develop a method to use
the results from neural network verification tools to provide probabilistic
safety guarantees on a neural network controller. We develop an adaptive
verification approach to efficiently generate an overapproximation of the
neural network policy. Next, we modify the traditional formulation of Markov
decision process (MDP) model checking to provide guarantees on the
overapproximated policy given a stochastic dynamics model. Finally, we
incorporate techniques in state abstraction to reduce overapproximation error
during the model checking process. We show that our method is able to generate
meaningful probabilistic safety guarantees for aircraft collision avoidance
neural networks that are loosely inspired by Airborne Collision Avoidance
System X (ACAS X), a family of collision avoidance systems that formulates the
problem as a partially observable Markov decision process (POMDP).","['Sydney M. Katz', 'Kyle D. Julian', 'Christopher A. Strong', 'Mykel J. Kochenderfer']"
"Linear Iterative Feature Embedding: An Ensemble Framework for
  Interpretable Model",Machine Learning (Statistics),"A new ensemble framework for interpretable model called Linear Iterative
Feature Embedding (LIFE) has been developed to achieve high prediction
accuracy, easy interpretation and efficient computation simultaneously. The
LIFE algorithm is able to fit a wide single-hidden-layer neural network (NN)
accurately with three steps: defining the subsets of a dataset by the linear
projections of neural nodes, creating the features from multiple narrow
single-hidden-layer NNs trained on the different subsets of the data, combining
the features with a linear model. The theoretical rationale behind LIFE is also
provided by the connection to the loss ambiguity decomposition of stack
ensemble methods. Both simulation and empirical experiments confirm that LIFE
consistently outperforms directly trained single-hidden-layer NNs and also
outperforms many other benchmark models, including multi-layers Feed Forward
Neural Network (FFNN), Xgboost, and Random Forest (RF) in many experiments. As
a wide single-hidden-layer NN, LIFE is intrinsically interpretable. Meanwhile,
both variable importance and global main and interaction effects can be easily
created and visualized. In addition, the parallel nature of the base learner
building makes LIFE computationally efficient by leveraging parallel computing.","['Agus Sudjianto', 'Jinwen Qiu', 'Miaoqi Li', 'Jie Chen']"
Robust Super-Level Set Estimation using Gaussian Processes,Machine Learning (Statistics),"This paper focuses on the problem of determining as large a region as
possible where a function exceeds a given threshold with high probability. We
assume that we only have access to a noise-corrupted version of the function
and that function evaluations are costly. To select the next query point, we
propose maximizing the expected volume of the domain identified as above the
threshold as predicted by a Gaussian process, robustified by a variance term.
We also give asymptotic guarantees on the exploration effect of the algorithm,
regardless of the prior misspecification. We show by various numerical examples
that our approach also outperforms existing techniques in the literature in
practice.","['Andrea Zanette', 'Junzi Zhang', 'Mykel J. Kochenderfer']"
Systematic Evaluation of Predictive Fairness,Machine Learning,"Mitigating bias in training on biased datasets is an important open problem.
Several techniques have been proposed, however the typical evaluation regime is
very limited, considering very narrow data conditions. For instance, the effect
of target class imbalance and stereotyping is under-studied. To address this
gap, we examine the performance of various debiasing methods across multiple
tasks, spanning binary classification (Twitter sentiment), multi-class
classification (profession prediction), and regression (valence prediction).
Through extensive experimentation, we find that data conditions have a strong
influence on relative model performance, and that general conclusions cannot be
drawn about method efficacy when evaluating only on standard datasets, as is
current practice in fairness research.","['Xudong Han', 'Aili Shen', 'Trevor Cohn', 'Timothy Baldwin', 'Lea Frermann']"
Learning Neural Templates for Recommender Dialogue System,Computation and Language (Natural Language Processing),"Though recent end-to-end neural models have shown promising progress on
Conversational Recommender System (CRS), two key challenges still remain.
First, the recommended items cannot be always incorporated into the generated
replies precisely and appropriately. Second, only the items mentioned in the
training corpus have a chance to be recommended in the conversation. To tackle
these challenges, we introduce a novel framework called NTRD for recommender
dialogue system that decouples the dialogue generation from the item
recommendation. NTRD has two key components, i.e., response template generator
and item selector. The former adopts an encoder-decoder model to generate a
response template with slot locations tied to target items, while the latter
fills in slot locations with the proper items using a sufficient attention
mechanism. Our approach combines the strengths of both classical slot filling
approaches (that are generally controllable) and modern neural NLG approaches
(that are generally more natural and accurate). Extensive experiments on the
benchmark ReDial show our NTRD significantly outperforms the previous
state-of-the-art methods. Besides, our approach has the unique advantage to
produce novel items that do not appear in the training set of dialogue corpus.
The code is available at \url{https://github.com/jokieleung/NTRD}.","['Zujie Liang', 'Huang Hu', 'Can Xu', 'Jian Miao', 'Yingying He', 'Yining Chen', 'Xiubo Geng', 'Fan Liang', 'Daxin Jiang']"
"DS-Net: Dynamic Spatiotemporal Network for Video Salient Object
  Detection",Computer Vision and Pattern Recognition,"As moving objects always draw more attention of human eyes, the temporal
motive information is always exploited complementarily with spatial information
to detect salient objects in videos. Although efficient tools such as optical
flow have been proposed to extract temporal motive information, it often
encounters difficulties when used for saliency detection due to the movement of
camera or the partial movement of salient objects. In this paper, we
investigate the complimentary roles of spatial and temporal information and
propose a novel dynamic spatiotemporal network (DS-Net) for more effective
fusion of spatiotemporal information. We construct a symmetric two-bypass
network to explicitly extract spatial and temporal features. A dynamic weight
generator (DWG) is designed to automatically learn the reliability of
corresponding saliency branch. And a top-down cross attentive aggregation (CAA)
procedure is designed so as to facilitate dynamic complementary aggregation of
spatiotemporal features. Finally, the features are modified by spatial
attention with the guidance of coarse saliency map and then go through decoder
part for final saliency map. Experimental results on five benchmarks VOS,
DAVIS, FBMS, SegTrack-v2, and ViSal demonstrate that the proposed method
achieves superior performance than state-of-the-art algorithms. The source code
is available at https://github.com/TJUMMG/DS-Net.","['Jing Liu', 'Jiaxiang Wang', 'Weikang Wang', 'Yuting Su']"
"Efficient single input-output layer spiking neural classifier with
  time-varying weight model",Neural and Evolutionary Computing,"This paper presents a supervised learning algorithm, namely, the Synaptic
Efficacy Function with Meta-neuron based learning algorithm (SEF-M) for a
spiking neural network with a time-varying weight model. For a given pattern,
SEF-M uses the learning algorithm derived from meta-neuron based learning
algorithm to determine the change in weights corresponding to each presynaptic
spike times. The changes in weights modulate the amplitude of a Gaussian
function centred at the same presynaptic spike times. The sum of amplitude
modulated Gaussian functions represents the synaptic efficacy functions (or
time-varying weight models). The performance of SEF-M is evaluated against
state-of-the-art spiking neural network learning algorithms on 10 benchmark
datasets from UCI machine learning repository. Performance studies show
superior generalization ability of SEF-M. An ablation study on time-varying
weight model is conducted using JAFFE dataset. The results of the ablation
study indicate that using a time-varying weight model instead of single weight
model improves the classification accuracy by 14%. Thus, it can be inferred
that a single input-output layer spiking neural network with time-varying
weight model is computationally more efficient than a multi-layer spiking
neural network with long-term or short-term weight model.","['Abeegithan Jeyasothy', 'Savitha Ramasamy', 'Suresh Sundaram']"
"Defogging Kinect: Simultaneous Estimation of Object Region and Depth in
  Foggy Scenes",Computer Vision and Pattern Recognition,"Three-dimensional (3D) reconstruction and scene depth estimation from
2-dimensional (2D) images are major tasks in computer vision. However, using
conventional 3D reconstruction techniques gets challenging in participating
media such as murky water, fog, or smoke. We have developed a method that uses
a time-of-flight (ToF) camera to estimate an object region and depth in
participating media simultaneously. The scattering component is saturated, so
it does not depend on the scene depth, and received signals bouncing off
distant points are negligible due to light attenuation in the participating
media, so the observation of such a point contains only a scattering component.
These phenomena enable us to estimate the scattering component in an object
region from a background that only contains the scattering component. The
problem is formulated as robust estimation where the object region is regarded
as outliers, and it enables the simultaneous estimation of an object region and
depth on the basis of an iteratively reweighted least squares (IRLS)
optimization scheme. We demonstrate the effectiveness of the proposed method
using captured images from a Kinect v2 in real foggy scenes and evaluate the
applicability with synthesized data.","['Yuki Fujimura', 'Motoharu Sonogashira', 'Masaaki Iiyama']"
"v-SVR Polynomial Kernel for Predicting the Defect Density in New
  Software Projects",Software Engineering,"An important product measure to determine the effectiveness of software
processes is the defect density (DD). In this study, we propose the application
of support vector regression (SVR) to predict the DD of new software projects
obtained from the International Software Benchmarking Standards Group (ISBSG)
Release 2018 data set. Two types of SVR (e-SVR and v-SVR) were applied to train
and test these projects. Each SVR used four types of kernels. The prediction
accuracy of each SVR was compared to that of a statistical regression (i.e., a
simple linear regression, SLR). Statistical significance test showed that v-SVR
with polynomial kernel was better than that of SLR when new software projects
were developed on mainframes and coded in programming languages of third
generation","['Cuauhtemoc Lopez-Martin', 'Mohammad Azzeh', 'Ali Bou Nassif', 'Shadi Banitaan']"
Building the Signature of Set Theory Using the MathSem Program,Logic in Computer Science,"Knowledge representation is a popular research field in IT. As mathematical
knowledge is most formalized, its representation is important and interesting.
Mathematical knowledge consists of various mathematical theories. In this paper
we consider a deductive system that derives mathematical notions, axioms and
theorems. All these notions, axioms and theorems can be considered as the part
of elementary set theory. This theory will be represented as a semantic net.",['Andrey Luxemburg']
Knowledge Squeezed Adversarial Network Compression,Machine Learning,"Deep network compression has been achieved notable progress via knowledge
distillation, where a teacher-student learning manner is adopted by using
predetermined loss. Recently, more focuses have been transferred to employ the
adversarial training to minimize the discrepancy between distributions of
output from two networks. However, they always emphasize on result-oriented
learning while neglecting the scheme of process-oriented learning, leading to
the loss of rich information contained in the whole network pipeline. Inspired
by the assumption that, the small network can not perfectly mimic a large one
due to the huge gap of network scale, we propose a knowledge transfer method,
involving effective intermediate supervision, under the adversarial training
framework to learn the student network. To achieve powerful but highly compact
intermediate information representation, the squeezed knowledge is realized by
task-driven attention mechanism. Then, the transferred knowledge from teacher
network could accommodate the size of student network. As a result, the
proposed method integrates merits from both process-oriented and
result-oriented learning. Extensive experimental results on three typical
benchmark datasets, i.e., CIFAR-10, CIFAR-100, and ImageNet, demonstrate that
our method achieves highly superior performances against other state-of-the-art
methods.","['Shu Changyong', 'Li Peng', 'Xie Yuan', 'Qu Yanyun', 'Dai Longquan', 'Ma Lizhuang']"
"Prior-based Hierarchical Segmentation Highlighting Structures of
  Interest",Computer Vision and Pattern Recognition,"Image segmentation is the process of partitioning an image into a set of
meaningful regions according to some criteria. Hierarchical segmentation has
emerged as a major trend in this regard as it favors the emergence of important
regions at different scales. On the other hand, many methods allow us to have
prior information on the position of structures of interest in the images. In
this paper, we present a versatile hierarchical segmentation method that takes
into account any prior spatial information and outputs a hierarchical
segmentation that emphasizes the contours or regions of interest while
preserving the important structures in the image. Several applications are
presented that illustrate the method versatility and efficiency.","['Amin Fehri', 'Santiago Velasco-Forero', 'Fernand Meyer']"
"An Automated Engineering Assistant: Learning Parsers for Technical
  Drawings",Artificial Intelligence,"From a set of technical drawings and expert knowledge, we automatically learn
a parser to interpret such a drawing. This enables automatic reasoning and
learning on top of a large database of technical drawings. In this work, we
develop a similarity based search algorithm to help engineers and designers
find or complete designs more easily and flexibly. This is part of an ongoing
effort to build an automated engineering assistant. The proposed methods make
use of both neural methods to learn to interpret images, and symbolic methods
to learn to interpret the structure in the technical drawing and incorporate
expert knowledge.","['Dries Van Daele', 'Nicholas Decleyre', 'Herman Dubois', 'Wannes Meert']"
Towards a new Social Choice Theory,Artificial Intelligence,"Social choice is the theory about collective decision towards social welfare
starting from individual opinions, preferences, interests or welfare. The field
of Computational Social Welfare is somewhat recent and it is gaining impact in
the Artificial Intelligence Community. Classical literature makes the
assumption of single-peaked preferences, i.e. there exist a order in the
preferences and there is a global maximum in this order. This year some
theoretical results were published about Two-stage Approval Voting Systems
(TAVs), Multi-winner Selection Rules (MWSR) and Incomplete (IPs) and Circular
Preferences (CPs). The purpose of this paper is three-fold: Firstly, I want to
introduced Social Choice Optimisation as a generalisation of TAVs where there
is a max stage and a min stage implementing thus a Minimax, well-known
Artificial Intelligence decision-making rule to minimize hindering towards a
(Social) Goal. Secondly, I want to introduce, following my Open Standardization
and Open Integration Theory (in refinement process) put in practice in my
dissertation, the Open Standardization of Social Inclusion, as a global social
goal of Social Choice Optimization.",['Andrés García-Camino']
"Policy-Gradient Algorithms Have No Guarantees of Convergence in Linear
  Quadratic Games",Machine Learning,"We show by counterexample that policy-gradient algorithms have no guarantees
of even local convergence to Nash equilibria in continuous action and state
space multi-agent settings. To do so, we analyze gradient-play in N-player
general-sum linear quadratic games, a classic game setting which is recently
emerging as a benchmark in the field of multi-agent learning. In such games the
state and action spaces are continuous and global Nash equilibria can be found
be solving coupled Ricatti equations. Further, gradient-play in LQ games is
equivalent to multi agent policy-gradient. We first show that these games are
surprisingly not convex games. Despite this, we are still able to show that the
only critical points of the gradient dynamics are global Nash equilibria. We
then give sufficient conditions under which policy-gradient will avoid the Nash
equilibria, and generate a large number of general-sum linear quadratic games
that satisfy these conditions. In such games we empirically observe the players
converging to limit cycles for which the time average does not coincide with a
Nash equilibrium. The existence of such games indicates that one of the most
popular approaches to solving reinforcement learning problems in the classic
reinforcement learning setting has no local guarantee of convergence in
multi-agent settings. Further, the ease with which we can generate these
counterexamples suggests that such situations are not mere edge cases and are
in fact quite common.","['Eric Mazumdar', 'Lillian J. Ratliff', 'Michael I. Jordan', 'S. Shankar Sastry']"
"Routing Networks and the Challenges of Modular and Compositional
  Computation",Machine Learning,"Compositionality is a key strategy for addressing combinatorial complexity
and the curse of dimensionality. Recent work has shown that compositional
solutions can be learned and offer substantial gains across a variety of
domains, including multi-task learning, language modeling, visual question
answering, machine comprehension, and others. However, such models present
unique challenges during training when both the module parameters and their
composition must be learned jointly. In this paper, we identify several of
these issues and analyze their underlying causes. Our discussion focuses on
routing networks, a general approach to this problem, and examines empirically
the interplay of these challenges and a variety of design decisions. In
particular, we consider the effect of how the algorithm decides on module
composition, how the algorithm updates the modules, and if the algorithm uses
regularization.","['Clemens Rosenbaum', 'Ignacio Cases', 'Matthew Riemer', 'Tim Klinger']"
"AdvKnn: Adversarial Attacks On K-Nearest Neighbor Classifiers With
  Approximate Gradients",Computer Vision and Pattern Recognition,"Deep neural networks have been shown to be vulnerable to adversarial
examples---maliciously crafted examples that can trigger the target model to
misbehave by adding imperceptible perturbations. Existing attack methods for
k-nearest neighbor~(kNN) based algorithms either require large perturbations or
are not applicable for large k. To handle this problem, this paper proposes a
new method called AdvKNN for evaluating the adversarial robustness of kNN-based
models. Firstly, we propose a deep kNN block to approximate the output of kNN
methods, which is differentiable thus can provide gradients for attacks to
cross the decision boundary with small distortions. Second, a new consistency
learning for distribution instead of classification is proposed for the
effectiveness in distribution based methods. Extensive experimental results
indicate that the proposed method significantly outperforms state of the art in
terms of attack success rate and the added perturbations.","['Xiaodan Li', 'Yuefeng Chen', 'Yuan He', 'Hui Xue']"
Learning Formation of Physically-Based Face Attributes,Computer Vision and Pattern Recognition,"Based on a combined data set of 4000 high resolution facial scans, we
introduce a non-linear morphable face model, capable of producing multifarious
face geometry of pore-level resolution, coupled with material attributes for
use in physically-based rendering. We aim to maximize the variety of face
identities, while increasing the robustness of correspondence between unique
components, including middle-frequency geometry, albedo maps, specular
intensity maps and high-frequency displacement details. Our deep learning based
generative model learns to correlate albedo and geometry, which ensures the
anatomical correctness of the generated assets. We demonstrate potential use of
our generative model for novel identity generation, model fitting,
interpolation, animation, high fidelity data visualization, and low-to-high
resolution data domain transferring. We hope the release of this generative
model will encourage further cooperation between all graphics, vision, and data
focused professionals while demonstrating the cumulative value of every
individual's complete biometric profile.","['Ruilong Li', 'Karl Bladin', 'Yajie Zhao', 'Chinmay Chinara', 'Owen Ingraham', 'Pengda Xiang', 'Xinglei Ren', 'Pratusha Prasad', 'Bipin Kishore', 'Jun Xing', 'Hao Li']"
Uncertainty and Structure in Neural Ordinary Differential Equations,Machine Learning,"Neural ordinary differential equations (ODEs) are an emerging class of deep
learning models for dynamical systems. They are particularly useful for
learning an ODE vector field from observed trajectories (i.e., inverse
problems). We here consider aspects of these models relevant for their
application in science and engineering. Scientific predictions generally
require structured uncertainty estimates. As a first contribution, we show that
basic and lightweight Bayesian deep learning techniques like the Laplace
approximation can be applied to neural ODEs to yield structured and meaningful
uncertainty quantification. But, in the scientific domain, available
information often goes beyond raw trajectories, and also includes mechanistic
knowledge, e.g., in the form of conservation laws. We explore how mechanistic
knowledge and uncertainty quantification interact on two recently proposed
neural ODE frameworks - symplectic neural ODEs and physical models augmented
with neural ODEs. In particular, uncertainty reflects the effect of mechanistic
information more directly than the predictive power of the trained model could.
And vice versa, structure can improve the extrapolation abilities of neural
ODEs, a fact that can be best assessed in practice through uncertainty
estimates. Our experimental analysis demonstrates the effectiveness of the
Laplace approach on both low dimensional ODE problems and a high dimensional
partial differential equation.","['Katharina Ott', 'Michael Tiemann', 'Philipp Hennig']"
